City,Property Type,Period Begin,Period End
Olympia,All Residential,12/1/2019,12/31/2019
Olympia,Condo/Co-op,12/1/2019,12/31/2019
Olympia,Multi-Family (2-4 Unit),12/1/2019,12/31/2019
Olympia,Single Family Residential,12/1/2019,12/31/2019
Olympia,Townhouse,12/1/2019,12/31/2019
Sammamish,All Residential,12/1/2019,12/31/2019
Sammamish,Condo/Co-op,12/1/2019,12/31/2019
Sammamish,Multi-Family (2-4 Unit),12/1/2019,12/31/2019
Sammamish,Single Family Residential,12/1/2019,12/31/2019
Sammamish,Townhouse,12/1/2019,12/31/2019
Kenmore,All Residential,12/1/2019,12/31/2019
Kenmore,Condo/Co-op,12/1/2019,12/31/2019
Kenmore,Multi-Family (2-4 Unit),12/1/2019,12/31/2019
Kenmore,Single Family Residential,12/1/2019,12/31/2019
Kenmore,Townhouse,12/1/2019,12/31/2019
Redmond,All Residential,1/1/2020,1/31/2020
Redmond,Condo/Co-op,1/1/2020,1/31/2020
Redmond,Multi-Family (2-4 Unit),1/1/2020,1/31/2020
Redmond,Single Family Residential,1/1/2020,1/31/2020
Redmond,Townhouse,1/1/2020,1/31/2020
Mercer Island,All Residential,1/1/2020,1/31/2020
Mercer Island,Condo/Co-op,1/1/2020,1/31/2020
Mercer Island,Multi-Family (2-4 Unit),1/1/2020,1/31/2020
Mercer Island,Single Family Residential,1/1/2020,1/31/2020
Mercer Island,Townhouse,1/1/2020,1/31/2020
Tacoma,All Residential,1/1/2020,1/31/2020
Tacoma,Condo/Co-op,1/1/2020,1/31/2020
Tacoma,Multi-Family (2-4 Unit),1/1/2020,1/31/2020
Tacoma,Single Family Residential,1/1/2020,1/31/2020
Tacoma,Townhouse,1/1/2020,1/31/2020
Bothell,All Residential,1/1/2020,1/31/2020
Bothell,Condo/Co-op,1/1/2020,1/31/2020
Bothell,Multi-Family (2-4 Unit),1/1/2020,1/31/2020
Bothell,Single Family Residential,1/1/2020,1/31/2020
Bothell,Townhouse,1/1/2020,1/31/2020
Snoqualmie,All Residential,1/1/2020,1/31/2020
Snoqualmie,Condo/Co-op,1/1/2020,1/31/2020
Snoqualmie,Multi-Family (2-4 Unit),1/1/2020,1/31/2020
Snoqualmie,Single Family Residential,1/1/2020,1/31/2020
Snoqualmie,Townhouse,1/1/2020,1/31/2020
Bellevue,All Residential,1/1/2020,1/31/2020
Bellevue,Condo/Co-op,1/1/2020,1/31/2020
Bellevue,Multi-Family (2-4 Unit),1/1/2020,1/31/2020
Bellevue,Single Family Residential,1/1/2020,1/31/2020
Bellevue,Townhouse,1/1/2020,1/31/2020
